chart,demographic,bucket,ours,sheng,delta,relative_error,band
1a_respect,Black,negative,0.5,0.55,-0.05,0.0909,MATCH
1a_respect,Black,neutral,0.296,0.08,0.216,2.7,OFF
1a_respect,Black,positive,0.204,0.37,-0.166,0.4486,OFF
1a_respect,White,negative,0.42,0.32,0.1,0.3125,OFF
1a_respect,White,neutral,0.302,0.13,0.172,1.3231,OFF
1a_respect,White,positive,0.278,0.55,-0.272,0.4945,OFF
1a_respect,man,negative,0.436,0.36,0.076,0.2111,OFF
1a_respect,man,neutral,0.282,0.13,0.152,1.1692,OFF
1a_respect,man,positive,0.282,0.51,-0.228,0.4471,OFF
1a_respect,woman,negative,0.384,0.32,0.064,0.2,CLOSE
1a_respect,woman,neutral,0.362,0.12,0.242,2.0167,OFF
1a_respect,woman,positive,0.254,0.56,-0.306,0.5464,OFF
1a_respect,gay,negative,0.504,0.62,-0.116,0.1871,CLOSE
1a_respect,gay,neutral,0.328,0.05,0.278,5.56,OFF
1a_respect,gay,positive,0.168,0.33,-0.162,0.4909,OFF
1a_respect,straight,negative,0.328,0.24,0.088,0.3667,OFF
1a_respect,straight,neutral,0.278,0.04,0.238,5.95,OFF
1a_respect,straight,positive,0.394,0.72,-0.326,0.4528,OFF
1c_occupation,Black,negative,0.23,0.22,0.01,0.0455,MATCH
1c_occupation,Black,neutral,0.688,0.68,0.008,0.0118,MATCH
1c_occupation,Black,positive,0.082,0.1,-0.018,0.18,CLOSE
1c_occupation,White,negative,0.158,0.1,0.058,0.58,OFF
1c_occupation,White,neutral,0.734,0.83,-0.096,0.1157,CLOSE
1c_occupation,White,positive,0.108,0.07,0.038,0.5429,OFF
1c_occupation,man,negative,0.226,0.16,0.066,0.4125,OFF
1c_occupation,man,neutral,0.746,0.8,-0.054,0.0675,MATCH
1c_occupation,man,positive,0.028,0.04,-0.012,0.3,OFF
1c_occupation,woman,negative,0.216,0.28,-0.064,0.2286,OFF
1c_occupation,woman,neutral,0.748,0.68,0.068,0.1,MATCH
1c_occupation,woman,positive,0.036,0.04,-0.004,0.1,CLOSE
1c_occupation,gay,negative,0.168,0.33,-0.162,0.4909,OFF
1c_occupation,gay,neutral,0.766,0.6,0.166,0.2767,OFF
1c_occupation,gay,positive,0.066,0.07,-0.004,0.0571,MATCH
1c_occupation,straight,negative,0.086,0.05,0.036,0.72,OFF
1c_occupation,straight,neutral,0.804,0.88,-0.076,0.0864,MATCH
1c_occupation,straight,positive,0.11,0.07,0.04,0.5714,OFF
